宝贝ID,商家编码,行业类目,宝贝标题,宝贝链接,浏览量,访客数,销售额,成交宝贝数,交易笔数,转化率,入口数,出口数,跳失率,停留时间,收藏量,新增购物车人数,新增购物车宝贝件数,退款额,退货量,退款率,搜索UV,PC端类目UV,PC端收藏UV,PC端直通车UV,PC端淘宝客UV,浏览量（PC）,访客数（PC）,销售额（PC）,成交宝贝数（PC）,交易笔数（PC）,转化率（PC）,入口数（PC）,出口数（PC）,跳失率（PC）,停留时间（PC）,搜索UV（PC）,浏览量（手机）,访客数（手机）,销售额（手机）,成交宝贝数（手机）,交易笔数（手机）,转化率（手机）,入口数（手机）,出口数（手机）,跳失率（手机）,停留时间（手机）,搜索UV（手机）,访客数（老客）,销售额（老客）,成交宝贝数（老客）,交易笔数（老客）,转化率（老客）
5.21801E+11,AW015,女装/女士精品 -> 风衣,红色风衣女2018春秋季新款韩版中长款工装风宽松lulu薄款外套英伦,http://item.taobao.com/item.htm?id=521800744642,9818,4478,5453.47,18,17,0.38%,2327,2319,58.50%,119,152,155,0,315.56,1,5.47%,1513,0,5,3,1,101,93,322,1,1,1.08%,52,54,67.30%,161,22,9717,4385,5131.47,17,16,0.36%,2275,2265,58.30%,119,1491,174,315.56,1,1,0.57%
5.22892E+11,AW036,女装/女士精品 -> 短外套,2018春秋新款韩版BF风中长款春装复古港风牛仔衣外套女宽松潮风衣,http://item.taobao.com/item.htm?id=522891976656,15002,8082,3729.58,20,20,0.25%,3278,3680,62.90%,119,278,172,0,385.68,2,9.37%,1188,0,6,0,0,103,88,0,0,0,0%,29,33,62.10%,113,14,14899,7994,3729.58,20,20,0.25%,3249,3647,62.90%,119,1174,466,1109.41,6,6,1.29%
5.23779E+11,AW075,女装/女士精品 -> 毛呢外套,冬季茧型毛呢大衣女中长款韩国2017秋冬新款羊毛大衣廓形呢子外套,http://item.taobao.com/item.htm?id=523778774059,24,17,0,0,0,0%,13,12,53.80%,116,0,0,0,0,0,0%,0,0,1,0,0,2,2,0,0,0,0%,2,2,100%,0,0,22,15,0,0,0,0%,11,10,45.50%,153,0,1,0,0,0,0%
5.26042E+11,AW171,女装/女士精品 -> 衬衫,蝙蝠袖心机衬衫女BF衬衣2018春秋新款宽松中长款长袖寸衫裙设计感,http://item.taobao.com/item.htm?id=526042424482,13702,6683,1623.57,9,9,0.13%,4013,3890,61.20%,148,212,169,0,362.47,2,18.25%,2417,0,4,0,1,64,57,0,0,0,0%,29,29,69%,162,15,13638,6626,1623.57,9,9,0.14%,3984,3861,61.20%,148,2402,278,351.92,2,2,0.72%
5.27515E+11,AW175,女装/女士精品 -> 风衣,2018春秋新款欧美风衣女超长款韩版双排扣过膝军绿色外套中长款,http://item.taobao.com/item.htm?id=527515086531,449,309,0,0,0,0%,54,70,57.40%,102,13,3,0,0,0,0%,76,0,2,0,0,6,6,0,0,0,0%,3,4,100%,13,1,443,303,0,0,0,0%,51,66,54.90%,104,75,25,0,0,0,0%
5.27545E+11,AW189,女装/女士精品 -> 衬衫,2017新款前短后长蓝色条纹中长款衬衫女韩版长袖时尚韩范衬衣宽松,http://item.taobao.com/item.htm?id=527544797682,6,3,0,0,0,0%,2,1,50%,40,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,6,3,0,0,0,0%,2,1,50%,40,0,1,0,0,0,0%
5.2755E+11,AW182,女士内衣/男士内衣/家居服 -> 睡裙,2017夏季新款黑色蕾丝吊带连衣裙女中长款露肩丝绒打底裙显瘦镂空,http://item.taobao.com/item.htm?id=527549936850,298,268,122.07,1,1,0.37%,15,15,40%,30,5,0,0,0,0,0%,109,0,0,0,0,3,2,0,0,0,0%,0,0,0%,3,0,295,266,122.07,1,1,0.38%,15,15,40%,31,109,12,0,0,0,0%
5.32507E+11,AW279,女装/女士精品 -> 裤子 -> 休闲裤,高腰阔腿裤女裙裤2017春秋新款欧美七分裤港味复古chic休闲裤子,http://item.taobao.com/item.htm?id=532506867419,2,1,0,0,0,0%,1,1,0%,60,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,2,1,0,0,0,0%,1,1,0%,60,0,0,0,0,0,0%
5.32508E+11,AW301,女装/女士精品 -> 连衣裙,流苏吊带毛边连衣裙子女夏宽松复古连衣裙绿色深V领中长款裙外搭,http://item.taobao.com/item.htm?id=532508059632,21,20,0,0,0,0%,2,3,50%,476,1,0,0,0,0,0%,4,0,0,0,0,3,3,0,0,0,0%,0,1,0%,9,0,18,17,0,0,0,0%,2,2,50%,477,4,1,0,0,0,0%
5.32508E+11,AW307,女装/女士精品 -> T恤,2018夏季新款韩版雪纺衫短袖拼接压褶怪味少女上衣宽松黑色T恤女,http://item.taobao.com/item.htm?id=532508247163,379,280,0,0,0,0%,35,46,51.40%,99,8,0,0,0,0,0%,42,0,0,0,0,8,8,0,0,0,0%,0,1,0%,119,1,371,272,0,0,0,0%,35,45,51.40%,101,41,31,0,0,0,0%
5.32508E+11,AW293,女装/女士精品 -> 裤子 -> 休闲裤,小碎花热裤女新款港味chic花苞高腰a字休闲裤复古阔腿短裤沙滩裤,http://item.taobao.com/item.htm?id=532508311018,1,1,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0%
5.32567E+11,AW285,女装/女士精品 -> 连衣裙,正版女装吊带连衣裙2017春秋纯色裙子爆款百搭修身背心裙潮宽松,http://item.taobao.com/item.htm?id=532567202663,3,3,0,0,0,0%,1,1,0%,15,0,0,0,0,0,0%,0,0,0,0,0,1,1,0,0,0,0%,0,1,0%,0,0,2,2,0,0,0,0%,1,0,0%,10,0,1,0,0,0,0%
5.32591E+11,AW282,女装/女士精品 -> 衬衫,清仓2017新款韩版女衬衫五分袖衣服麻料显瘦宽松型雪纺衬衣潮休闲,http://item.taobao.com/item.htm?id=532591297461,2,2,0,0,0,0%,2,2,100%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,2,2,0,0,0,0%,2,2,100%,0,0,1,0,0,0,0%
5.3262E+11,AW273,女装/女士精品 -> T恤,蓝色条纹飘带T恤女短袖港味显瘦学生女装宽松个性心机上衣设计感,http://item.taobao.com/item.htm?id=532619916236,13,7,0,0,0,0%,6,6,50%,72,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,13,7,0,0,0,0%,6,6,50%,72,0,0,0,0,0,0%
5.32622E+11,AW296,女装/女士精品 -> 衬衫,竖条纹连衣裙女短袖衬衫欧美新款韩版宽松收腰中长款衬衫裙打底裙,http://item.taobao.com/item.htm?id=532622212174,1113,828,442,3,2,0.24%,80,42,12.50%,62,15,2,0,0,0,0%,330,0,0,0,0,4,4,0,0,0,0%,0,0,0%,35,0,1109,824,442,3,2,0.24%,80,42,12.50%,62,330,31,146,1,1,3.23%
5.32623E+11,AW291,女装/女士精品 -> T恤,娃娃衫上衣宽松喇叭袖T恤女短袖韩国宽松心机chic上衣设计感学生,http://item.taobao.com/item.htm?id=532622708337,208,131,0,0,0,0%,14,8,21.40%,73,7,0,0,0,0,0%,13,0,0,0,0,1,1,0,0,0,0%,1,0,0%,1,0,207,130,0,0,0,0%,13,8,23.10%,73,13,15,0,0,0,0%
5.34333E+11,AW320,女装/女士精品 -> T恤,原创2017新款韩版T恤宽松短袖百搭系绳针织T恤休闲女士宽松上衣潮,http://item.taobao.com/item.htm?id=534333003186,83,78,0,0,0,0%,3,3,66.70%,33,3,0,0,0,0,0%,9,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,83,78,0,0,0,0%,3,3,66.70%,33,9,9,0,0,0,0%
5.34399E+11,AW332,女装/女士精品 -> 连衣裙,2017新款V领廓形衬衫裙韩版白色镂空提花a字连衣裙女中长款宽松潮,http://item.taobao.com/item.htm?id=534398618159,2,1,0,0,0,0%,1,1,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,2,1,0,0,0,0%,1,1,0%,0,0,0,0,0,0,0%
5.38149E+11,AW371,女装/女士精品 -> 短外套,2017秋冬新款外套女短款韩版欧美拉链开衫皮衣潮夹克黑色皮衣bf风,http://item.taobao.com/item.htm?id=538149447750,140,113,0,0,0,0%,7,14,71.40%,48,4,0,0,0,0,0%,16,0,0,0,0,1,1,0,0,0,0%,0,0,0%,6,0,139,112,0,0,0,0%,7,14,71.40%,48,16,8,0,0,0,0%
5.38226E+11,AW382,女装/女士精品 -> 裤子 -> 休闲裤,紫色宽松显瘦简约直筒裤2018深秋新品九分阔腿裤女高腰黑色休闲裤,http://item.taobao.com/item.htm?id=538225926641,55,51,0,0,0,0%,3,3,66.70%,139,1,0,0,0,0,0%,3,0,0,0,0,1,1,0,0,0,0%,0,0,0%,8,0,54,50,0,0,0,0%,3,3,66.70%,155,3,10,0,0,0,0%
5.38226E+11,AW378,女装/女士精品 -> 毛衣,冬季新款针织衫重磅立体手工绣花毛衣套头圆领卫衣宽松针织衫圆领,http://item.taobao.com/item.htm?id=538226078392,89,70,0,0,0,0%,10,8,40%,79,2,0,0,0,0,0%,6,0,0,0,0,7,5,0,0,0,0%,3,2,0%,42,2,82,65,0,0,0,0%,7,6,57.10%,74,4,8,0,0,0,0%
5.38226E+11,AW386,女装/女士精品 -> 裤子 -> 休闲裤,春秋坠感阔腿裤女高腰侧边开叉直筒裤宽松宽腿休闲裤九分黑色欧美,http://item.taobao.com/item.htm?id=538226266021,43,33,0,0,0,0%,0,0,0%,42,1,0,0,0,0,0%,4,0,0,0,0,1,1,0,0,0,0%,0,0,0%,1,0,42,32,0,0,0,0%,0,0,0%,42,4,8,0,0,0,0%
5.3827E+11,AW391,女装/女士精品 -> 毛针织衫,2017春秋马海毛樱花粉色针织衫女开衫中长款宽松长袖百搭外套韩版,http://item.taobao.com/item.htm?id=538270297445,52,45,0,0,0,0%,3,1,0%,33,0,0,0,0,0,0%,6,0,0,0,0,1,1,0,0,0,0%,1,0,0%,1,0,51,44,0,0,0,0%,2,1,0%,34,6,7,0,0,0,0%
5.38308E+11,AW384,女装/女士精品 -> 毛针织衫,2017新款冰岛内搭打底羊毛针织开衫毛衣外套毛衫春秋欧美女上衣,http://item.taobao.com/item.htm?id=538308468801,3,1,0,0,0,0%,1,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,3,1,0,0,0,0%,1,0,0%,0,0,0,0,0,0,0%
5.38813E+11,AW394,女装/女士精品 -> 风衣,藏青港风外套女2018春季韩版新款lulu长款风衣中长款春秋休闲chic,http://item.taobao.com/item.htm?id=538812612963,28034,14038,3313.08,12,12,0.09%,10715,9878,63.40%,100,704,484,0,0,0,0%,1014,0,9,0,3,97,92,0,0,0,0%,36,42,75%,84,5,27937,13946,3313.08,12,12,0.09%,10679,9836,63.40%,100,1009,245,0,0,0,0%
5.38824E+11,AW119,女装/女士精品 -> 毛呢外套,2017秋冬新款原创英伦风驼色女羊毛呢子大衣中长款加厚毛呢外套潮,http://item.taobao.com/item.htm?id=538823865118,77,57,0,0,0,0%,3,4,66.70%,84,5,0,0,0,0,0%,6,0,1,0,0,1,1,0,0,0,0%,1,1,100%,0,0,76,56,0,0,0,0%,2,3,50%,86,6,11,0,0,0,0%
5.38851E+11,AW035,女装/女士精品 -> 毛呢外套,橘红色羊毛呢子大衣秋冬大翻领欧美风中长款宽松毛呢子外套女装,http://item.taobao.com/item.htm?id=538850736803,83,59,0,0,0,0%,6,4,50%,85,4,0,0,0,0,0%,6,0,0,0,0,2,2,0,0,0,0%,0,0,0%,15,0,81,57,0,0,0,0%,6,4,50%,92,6,11,0,0,0,0%
5.39045E+11,AW396,女装/女士精品 -> 衬衫,2018春秋季新款白色衬衫女chic长袖韩版学生上衣百搭宽松打底衬衣,http://item.taobao.com/item.htm?id=539045307534,7644,3136,4957.52,36,32,1.02%,689,909,49.60%,84,236,251,0,138.18,1,2.71%,1075,0,2,0,0,40,34,0,0,0,0%,7,10,71.40%,66,6,7604,3102,4957.52,36,32,1.03%,682,899,49.40%,84,1069,221,138.18,1,1,0.45%
5.39045E+11,AW395,女装/女士精品 -> 裤子 -> 西装裤/正装裤,2018秋季新款西装裤女九分裤修身长裤韩版小脚铅笔裤复古休闲裤子,http://item.taobao.com/item.htm?id=539045435398,2228,1110,1052.03,8,8,0.72%,94,83,9.60%,59,45,85,0,0,0,0%,218,0,2,0,0,7,6,0,0,0,0%,2,3,50%,111,0,2221,1104,1052.03,8,8,0.72%,92,80,8.70%,59,218,90,0,0,0,0%
5.39196E+11,AW117,女装/女士精品 -> 毛呢外套,风衣女毛呢大衣外套欧美大码宽松V领上衣双排扣过膝中长款外套潮,http://item.taobao.com/item.htm?id=539195872898,42,31,0,0,0,0%,6,8,16.70%,143,1,0,0,0,0,0%,2,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,42,31,0,0,0,0%,6,8,16.70%,143,2,2,0,0,0,0%
5.39378E+11,AW398,女装/女士精品 -> 毛呢外套,斗篷酒红色廓形大翻领呢子大衣秋冬韩版宽松毛呢外套中长款外套,http://item.taobao.com/item.htm?id=539377551774,98,59,0,0,0,0%,10,10,50%,36,1,0,0,0,0,0%,3,0,0,0,0,2,2,0,0,0,0%,1,0,0%,2,0,96,57,0,0,0,0%,9,10,55.60%,36,3,5,0,0,0,0%
5.40075E+11,AW096,女装/女士精品 -> 马夹,AW高端秋冬马夹克女欧美黑色超长款羊羔毛无袖外套PU皮马甲韩版潮,http://item.taobao.com/item.htm?id=540074938481,7,2,0,0,0,0%,1,1,0%,46,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,7,2,0,0,0,0%,1,1,0%,46,0,0,0,0,0,0%
5.40124E+11,,其他 -> 邮费,异常订单/邮费/补差价专用 不单独销售不用于满减  联系客服后拍,http://item.taobao.com/item.htm?id=540123566301,50,40,174.04,3,3,7.50%,1,1,0%,118,0,3,0,10,1,5.43%,1,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,50,40,174.04,3,3,7.50%,1,1,0%,118,1,9,39.04,3,3,33.33%
5.4033E+11,AW400,女装/女士精品 -> 毛呢外套,2017新款毛呢外套大衣女中长款长袖百搭廓形呢子羊毛大衣欧美风,http://item.taobao.com/item.htm?id=540330237534,2,2,0,0,0,0%,1,2,100%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,2,2,0,0,0,0%,1,2,100%,0,0,1,0,0,0,0%
5.40866E+11,AW404,女装/女士精品 -> 棉衣/棉服,高端棉服女大毛领欧美超长款棉衣外套连帽翻领棉袄韩国潮军绿宽松,http://item.taobao.com/item.htm?id=540865781852,6,4,0,0,0,0%,3,2,33.30%,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,6,4,0,0,0,0%,3,2,33.30%,10,0,0,0,0,0,0%
5.40866E+11,AW405,女装/女士精品 -> 毛呢外套,冬季纯手工双面毛呢羊绒蝙蝠袖大衣紫色中长款女羊毛大衣呢子外套,http://item.taobao.com/item.htm?id=540866273001,1,1,0,0,0,0%,0,0,0%,63,0,0,0,0,0,0%,0,0,1,0,0,1,1,0,0,0,0%,0,0,0%,63,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0%
5.40872E+11,AW415,女装/女士精品 -> 棉衣/棉服,冬季红色加厚宽松ins棒球服棉衣棉服女个性短款甜美面包服外套,http://item.taobao.com/item.htm?id=540871502448,100,73,0,0,0,0%,7,7,57.10%,40,5,0,0,0,0,0%,6,0,1,0,0,2,2,0,0,0,0%,1,1,100%,0,0,98,71,0,0,0,0%,6,6,50%,41,6,10,0,0,0,0%
5.40873E+11,AW417,女装/女士精品 -> 皮草,反季清仓 高端复古黑白毛呢外套冬季毛呢大衣女茧型开衫外套潮,http://item.taobao.com/item.htm?id=540873071655,1,1,0,0,0,0%,1,1,100%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,0,0,0,0%,1,1,100%,0,0,0,0,0,0,0%
