订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
208011225488565543,白色衬衫女2018早秋新款宽松港味长袖慵懒衬衣bf风chic早秋衬衫,228,1,AW1489_1,颜色分类：白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1489_1
208011225488565543,毛衣外套女韩版2018秋季新款针织衫慵懒风宽松chic罩衫薄款复古,268,1,AW1495_1,颜色分类：白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1495_1
206649390720962554,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,买家已付款，等待卖家发货,AW1165_1
207668999271148030,pphome裙18吊带背带连衣裙女2018夏装新款宽松复古长裙子中长款夏,240,1,AW301,颜色分类：绿色;尺码：均码,null,null,卖家已发货，等待买家确认,AW301
207668999271148030,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,交易关闭,AW1344_2
206378572547558571,性感连衣裙夏2018新款宽松长裙露背女裙子小心机设计感格子温柔裙,239,1,AW1403_2,颜色分类：蓝白格;尺码：M,null,null,卖家已发货，等待买家确认,AW1403_2
206366897658497942,格纹连衣裙女夏2018新款荷叶边裙慵懒风裙子宽松极简主义长裙复古,258,1,AW1387_2,颜色分类：红蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1387_2
207081948383786914,2017夏季新款黑色蕾丝吊带连衣裙女中长款露肩丝绒打底裙显瘦镂空,130,1,AW182_1,颜色分类：黑色;尺码：S,null,null,卖家已发货，等待买家确认,AW182_1
207081948383786914,黑灰影子插肩风衣女中长款韩版春季2018新款lulu外套欧洲站女装,447,1,AW1162_1,颜色分类：黑灰色;尺码：S,null,null,卖家已发货，等待买家确认,AW1162_1
207063300089874719,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1344_2
206292808132017663,裤子2018新款女夏韩版休闲裤薄款哈伦裤宽松直筒高腰裤子长裤小脚,228,1,AW1463_1,颜色分类：米白色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1463_1
206287071358558571,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_2,颜色分类：黒白;尺码：M,null,null,卖家已发货，等待买家确认,AW1474_2
206287071358558571,2018春秋新款韩版开学季chic外套女宽松百搭中长款棒球服学生港味,448.5,1,AW1051_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1051_2
206153986698834543,撞色拼接复古印花连衣裙夏2018新款宽松长裙女慵懒风chic裙子极简,208,1,AW1345_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1345_2
206153986698834543,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
206220484730014060,2018秋季sukol裙复古波点收腰连衣裙女pphome裙子中长款风衣外套,666,1,AW1154_1,颜色分类：浅卡其;尺码：S,null,null,卖家已发货，等待买家确认,AW1154_1
206964628067502405,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
207229370624727106,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1394_2
206165661820896865,性感连衣裙夏2018新款宽松长裙露背女裙子小心机设计感格子温柔裙,239,1,AW1403_1,颜色分类：蓝白格;尺码：S,null,null,卖家已发货，等待买家确认,AW1403_1
